ETCID,mode,railroute,routerun,routeblock,triptime,tripday,daytype,raffle,recommend,workshard,defendmetro,goodvalue,satisfaction,frequency,duration ,ontime,connections,accurateinfo,vehseating,stopclean,busshade,vehroom,vehcomfort,vehclean,homelessness,raceharass,sexharrass,crimesafe,grafitti,enforcement,courtesy,buswifi,delayinfo,payeasy,infoplan,stoplighting,escalator1,elevator1,celltrain,traininfo,escalator2,escalator2,carpark,bikepark,topbus1,topbus2,topbus3,toprail1,toprail2,toprail3,caracc,rideoften,yearsriding,smartphone,paytype,faretype,age,fareother,discount,whatdiscount,latinx,black,white,asianpac,natam,another,anotherwhat,hhsize,english,spanish,chinese,tagalog,korean,armenian,anotherlang,whichlang,engskill,income,gender,whatgender,disabilities,lowvision,blind,deafhard,wheelchair,nowheelchair,mentalcog,disabother,whatdisab,lang_count,LowVision_num,Blindness_num,DeafHoH_num,Mobility_num,MobilityNoChair_num,MentalCognitive_num,OtherDisability_num,MultipleDisabilities,Disability_num,Gender_bis,WeightFactor
107064,B,2,2-060,2-059,3,1,1,1,5,9,5,4,4,2,4,4,3,4,3,2,3,3,3,3,0,5,5,4,3,0,4,0,0,0,0,3,0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,4,4,9,1,3,4,,2,#NULL!,Y,,,,,,,2,,Y,,,,,,,9,1,2,,2,,,,,,,,,1,0,0,0,0,0,0,0,0,#NULL!,2.00,97
107065,B,2,2-060,2-059,3,1,1,1,3,3,4,5,4,4,4,4,5,4,4,3,3,3,3,3,0,3,3,3,4,5,5,5,5,5,5,0,5,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,4,2,1,2,4,3,,2,#NULL!,,,Y,,,,,1,Y,,,,,,,,1,3,2,,2,,,,,,,,,0,0,0,0,0,0,0,0,0,#NULL!,2.00,97
107066,B,2,2-060,2-059,3,1,1,1,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,5,4,2,3,4,4,,9,#NULL!,Y,,,,,,,2,,Y,,,,,,,2,1,2,,2,,,,,,,,,1,0,0,0,0,0,0,0,0,#NULL!,2.00,97
107068,B,2,2-060,2-059,3,1,1,1,3,3,3,3,3,2,2,4,3,3,3,3,3,3,3,3,2,3,3,2,3,3,2,3,2,2,3,3,3,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,4,4,1,1,1,4,,1,4,Y,,,,,,,2,Y,Y,,,,,,,9,3,2,,1,Y,,Y,,Y,,,,1,1,0,1,0,1,0,0,3,8,2.00,97
107069,B,2,2-060,2-059,3,1,1,1,5,5,3,5,4,4,3,4,0,4,1,5,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,9,9,9,9,9,9,4,,9,#NULL!,Y,,,,,,,6,,Y,,,,,,,2,1,1,,2,,,,,,,,,1,0,0,0,0,0,0,0,0,#NULL!,1.00,97
107070,B,2,2-060,2-059,3,1,1,1,4,2,3,4,4,1,3,3,4,2,4,2,3,2,3,3,0,4,4,4,0,0,5,0,2,2,3,4,0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,9,3,#NULL!,#NULL!,#NULL!,2,5,5,1,2,1,3,,1,3,Y,,,,,,,2,Y,Y,,,,,,,1,3,1,,2,,,,,,,,,1,0,0,0,0,0,0,0,0,#NULL!,1.00,97
107074,B,2,2-060,2-059,3,1,1,1,4,4,3,5,4,4,4,4,4,4,4,2,5,3,1,2,4,4,4,4,4,4,4,4,4,4,4,1,3,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,9,9,9,9,9,9,2,,9,#NULL!,Y,,,,,,,1,,Y,,,,,,,2,1,2,,2,,,,,,,,,1,0,0,0,0,0,0,0,0,#NULL!,2.00,97
107075,B,2,2-060,2-059,3,1,1,1,4,4,3,4,4,4,4,3,5,4,3,2,3,4,5,3,1,2,2,3,2,2,5,4,3,4,5,5,5,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,11,12,17,#NULL!,#NULL!,#NULL!,2,5,4,1,2,4,2,,2,#NULL!,Y,,,,,,,2,Y,Y,,,,,,,1,2,2,,2,,,,,,,,,1,0,0,0,0,0,0,0,0,#NULL!,2.00,97
107076,B,2,2-060,2-059,3,1,1,1,5,4,5,3,4,3,3,4,3,5,4,4,1,3,3,3,0,0,0,4,0,3,4,0,5,5,5,1,5,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,17,11,#NULL!,#NULL!,#NULL!,2,5,4,1,2,5,2,Value,2,#NULL!,Y,,Y,,Y,,,2,Y,Y,,,,,,,1,3,2,,2,,,,,,,,,1,0,0,0,0,0,0,0,0,#NULL!,2.00,97
107077,B,2,2-060,2-059,3,1,1,1,5,5,5,5,5,3,5,5,0,0,0,0,0,5,0,2,5,5,3,5,0,0,5,0,3,0,5,0,5,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,9,9,9,9,9,9,4,,9,#NULL!,Y,,,,,,,2,,Y,,,,,,,9,1,2,,9,,,,,,,,,1,0,0,0,0,0,0,0,0,#NULL!,2.00,97
107078,B,2,2-060,2-059,3,1,1,2,3,4,2,3,3,2,2,2,4,2,1,1,2,2,4,4,2,5,5,3,1,0,3,0,2,2,3,2,0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,7,3,#NULL!,#NULL!,#NULL!,2,2,3,1,1,1,2,,2,#NULL!,,Y,,,,,,5,Y,,,,,,,,1,2,1,,2,,,,,,,,,0,0,0,0,0,0,0,0,0,#NULL!,1.00,97
107079,B,2,2-059,2-058,2,1,1,1,5,5,5,5,5,5,5,5,5,5,5,3,3,4,4,2,1,4,4,3,4,4,4,5,5,5,5,4,4,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,15,11,7,#NULL!,#NULL!,#NULL!,2,5,3,1,1,5,3,work fare,1,9,Y,,,,,,,2,Y,Y,,,,,,,1,2,1,,2,,,,,,,,,1,0,0,0,0,0,0,0,0,#NULL!,1.00,97
107080,B,2,2-059,2-058,2,1,1,1,5,4,5,5,2,3,3,3,0,3,3,1,1,2,3,2,3,3,1,0,0,0,3,5,3,5,4,3,4,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,15,8,#NULL!,#NULL!,#NULL!,2,5,4,1,1,1,3,,1,3,Y,,,,,,,6,Y,Y,,,,,,,2,2,2,,2,,,,,,,,,1,0,0,0,0,0,0,0,0,#NULL!,2.00,97
107081,B,2,2-059,2-058,2,1,1,1,5,5,4,5,5,4,4,4,4,5,4,3,4,4,5,5,4,5,4,4,4,5,5,5,4,4,4,4,5,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,5,4,1,1,1,4,,1,3,Y,,,,,,,6,Y,Y,,,,,,,9,3,2,,2,,,,,,,,,1,0,0,0,0,0,0,0,0,#NULL!,2.00,97
